romaji             , kana                  , kanji                 , chinese               , english            , example                                         , cn_meaning                                  , jp_meaning                                , scene
feruto-pen         , フェルトペン          , フェルトペン          , 毡头笔                , felt-tip pen       , フェルトペンでポスターを描きます。              , 用于绘画或书写的彩色笔                      , 絵や文字を書くためのペン                  , がっこう
gabyo              , がびょう              , 画鋲                  , 图钉                  , thumbtack          , 掲示板に紙を貼るためにがびょうを使います。      , 用于将纸张固定在板上的小钉子                , 紙を掲示板に留めるための小さな釘          , がっこう
enogu              , えのぐ                , 絵の具                , 颜料                  , paint              , 図工の時間に絵の具で絵を描きます。              , 用于绘画的彩色材料                          , 絵を描くための色の材料                    , がっこう
otoko no ko        , おとこのこ            , 男の子                , 男孩                  , boy                , 教室に男の子がいます。                          , 男性的儿童                                  , 男性の子ども                              , がっこう
enpitsu            , えんぴつ              , 鉛筆                  , 铅笔                  , pencil             , ノートに鉛筆で書きます。                        , 用于书写的工具                              , 文字を書くための道具                      , がっこう
tsukue             , つくえ                , 机                    , 书桌                  , desk               , 教室には机が並んでいます。                      , 供学生使用的桌子                            , 学生が使うための机                        , がっこう
hon                , ほん                  , 本                    , 书籍                  , book               , 図書館で本を借ります。                          , 供阅读的印刷品                              , 読むための印刷された資料                  , がっこう
nori               , のり                  , 糊                    , 胶水                  , glue               , 工作で紙を貼るためにのりを使います。            , 用于粘贴纸张的粘合剂                        , 紙を貼り付けるための接着剤                , がっこう
choku              , ちょく                , チョーク              , 粉笔                  , chalk              , 黒板にチョークで字を書きます。                  , 用于在黑板上书写的工具                      , 黒板に文字を書くための道具                , がっこう
e                  , え                    , 絵                    , 画                    , painting           , 美術の時間に絵を描きます。                      , 用颜料或铅笔等绘制的图像                    , 絵の具や鉛筆で描いた図                    , がっこう
doa no totte       , ドアのとって          , ドアの取っ手          , 门把手                , door handle        , ドアの取っ手を回して開けます。                  , 用于开启或关闭门的装置                      , ドアを開け閉めするための取っ手            , がっこう
shokubutsu         , しょくぶつ            , 植物                  , 植物                  , plant              , 教室に植物を飾ります。                          , 生长在土壤中的生物                          , 土に生える生き物                          , がっこう
chikyugi           , ちきゅうぎ            , 地球儀                , 地球仪                , globe              , 地理の授業で地球儀を使います。                  , 展示地球地理信息的球体模型                  , 地球の地理情報を示す模型                  , がっこう
onna no ko         , おんなのこ            , 女の子                , 女孩                  , girl               , 教室に女の子がいます。                          , 女性的儿童                                  , 女性の子ども                              , がっこう
kureyon            , クレヨン              , クレヨン              , 蜡笔                  , crayon             , クレヨンで絵を描きます。                        , 用于绘画的彩色蜡质笔                        , 絵を描くための色付きの筆記具              , がっこう
denki-sutando      , でんきスタンド        , 電気スタンド          , 台灯                  , desk lamp          , 机の上に電気スタンドを置きます。                , 用于照明的桌面灯具                          , 机の上で使う照明器具                      , がっこう
iizeru             , イーゼル              , イーゼル              , 画架                  , easel              , 絵を描くときにイーゼルを使います。              , 支撑画布的架子                              , キャンバスを支えるための台                , がっこう
buraindo           , ブラインド            , ブラインド            , 百叶窗                , blinds             , 教室の窓にブラインドがあります。                , 用于遮光的窗帘                              , 光を遮るための窓の覆い                    , がっこう
kami               , かみ                  , 紙                    , 纸                    , paper              , ノートに紙を使います。                          , 用于书写或打印的材料                        , 文字や絵を書くための素材                  , がっこう
suiso              , すいそう              , 水槽                  , 水槽                  , tank               , 理科室に水槽があります。                        , 用于盛水或养鱼的容器                        , 水を入れるための容器                      , がっこう
bajji              , バッジ                , バッジ                , 徽章                  , badge              , 生徒がバッジをつけています。                    , 表示身份或荣誉的标志                        , 身分や名誉を示すための印                  , がっこう
arufabetto         , アルファベット        , アルファベット        , 字母                  , alphabet           , 英語の授業でアルファベットを学びます。          , 英语的基础字母表                            , 英語の基本的な文字                        , がっこう
noto               , ノート                , ノート                , 笔记本                , notebook           , 授業の内容をノートに書きます。                  , 用于记录信息的本子                          , 情報を記録するための冊子                  , がっこう
yuka               , ゆか                  , 床                    , 地板                  , floor              , 教室の床を掃除します。                          , 建筑物内部的地面部分                        , 建物の内部の地面部分                      , がっこう
kabe               , かべ                  , 壁                    , 墙壁                  , wall               , 教室の壁にポスターを貼ります。                  , 建筑物的垂直结构                            , 建物の垂直な構造物                        , がっこう
tenjo              , てんじょう            , 天井                  , 天花板                , ceiling            , 教室の天井にライトがあります。                  , 建筑物内部的顶部结构                        , 建物の内部の上部構造                      , がっこう
fude               , ふで                  , 筆                    , 毛笔                  , brush              , 書道の時間に筆を使います。                      , 用于书写汉字的传统工具                      , 漢字を書くための伝統的な道具              , がっこう
chizu              , ちず                  , 地図                  , 地图                  , map                , 地理の授業で地図を使います。                    , 表示地理信息的图表                          , 地理情報を示す図                          , がっこう
hako               , はこ                  , 箱                    , 盒子                  , box                , 文房具を箱に入れます。                          , 用于存放物品的容器                          , 物を入れるための容器                      , がっこう
sensei             , せんせい              , 先生                  , 老师                  , teacher            , 先生が授業を教えます。                          , 教授知识的人                                , 知識を教える人                            , がっこう
gomibako           , ごみばこ              , ごみ箱                , 垃圾桶                , trash can          , 教室にごみ箱があります。                        , 用于收集垃圾的容器                          , ごみを集めるための容器                    , がっこう
howaito-bodo       , ホワイトボード        , ホワイトボード        , 白板                  , whiteboard         , 授業でホワイトボードを使います。                , 用于书写的白色板子                          , 文字を書くための白い板                    , がっこう
kangofu            , かんごふ              , 看護婦                , 护士                  , nurse              , 看護婦さんが注射をしてくれました。              , 照顾病人的专业人员                          , 病人の世話をする専門職                    , びょういん
dasshimen          , だっしめん            , 脱脂綿                , 脱脂綿                , absorbent cotton   , 看護師は脱脂綿で傷口を拭いた。                  , 去除油脂后用于医疗的棉花                    , 油脂を取り除いた医療用の綿                , びょういん
byoushou           , びょうしょう          , 病床                  , 病床                  , bed                , 患者は病床で休んでいます。                      , 供病人休息的床位                            , 患者が休むためのベッド                    , びょういん
kusuri             , くすり                , 薬                    , 药                    , medicine           , 薬を飲んでください。                            , 用于治疗疾病的物质                          , 病気を治すための物質                      , びょういん
erebeta            , エレベーター          , 昇降機                , 电梯                  , elevator           , エレベーターで上の階に行きます。                , 用于上下楼的设备                            , 階を移動するための装置                    , びょういん
gaun               , ガウン                , 病衣                  , 病号服                , gown               , 患者はガウンを着ています。                      , 病人穿的衣服                                , 患者が着る衣服                            , びょういん
matsuba-zue        , まつばづえ            , 松葉杖                , 拐杖                  , crutch             , 松葉杖を使って歩きます。                        , 帮助行走的工具                              , 歩行を助ける道具                          , びょういん
jozai              , じょうざい            , 錠剤                  , 药片                  , tablet             , 錠剤を水で飲みます。                            , 固体形状的药物                              , 固形の薬                                  , びょういん
o-bon              , おぼん                , 盆                    , 托盘                  , tray               , お盆に食事を載せます。                          , 用于盛放物品的盘子                          , 物を載せるための皿                        , びょういん
ude-dokei          , うでどけい            , 腕時計                , 手表                  , watch              , 腕時計で時間を確認します。                      , 戴在手腕上的计时器                          , 手首に着ける時計                          , びょういん
taionkei           , たいおんけい          , 体温計                , 体温计                , thermometer        , 体温計で熱を測ります。                          , 测量体温的仪器                              , 体温を測る器具                            , びょういん
katen              , カーテン              , 幕                    , 帘子                  , curtain            , カーテンで仕切ります。                          , 用于遮挡的布                                , 仕切りに使う布                            , びょういん
gibusu             , ギブス                , 石膏                  , 石膏                  , gibbs              , 骨折にギブスを巻きます。                        , 固定骨折部位的装置                          , 骨折部分を固定する器具                    , びょういん
hotai              , ほたい                , 包帯                  , 绷带                  , bandage            , 包帯で傷を巻きます。                            , 用于包扎伤口的布条                          , 傷を包む布                                , びょういん
kuruma-isu         , くるまいす            , 車椅子                , 轮椅                  , wheelchair         , 車椅子で移動します。                            , 供行动不便者使用的椅子                      , 移動に使う椅子                            , びょういん
jiguso-pazuru      , ジグソーパズル        , 拼图                  , 拼图                  , jigsaw puzzle      , 病室でジグソーパズルを楽しみます。              , 一种拼图游戏                                , ピースを組み合わせる遊び                  , びょういん
isha               , いしゃ                , 医者                  , 医生                  , doctor             , 医者が診察します。                              , 治疗病人的专业人员                          , 病人を診る専門職                          , びょういん
chushaki           , ちゅうしゃき          , 注射器                , 注射器                , syringe            , 注射器で薬を注入します。                        , 用于注射药物的器具                          , 薬を注入する器具                          , びょういん
terebi             , テレビ                , 电视                  , 电视                  , television         , 病室でテレビを見ます。                          , 播放影像的设备                              , 映像を映す装置                            , びょういん
nemaki             , ねまき                , 寝巻き                , 睡衣                  , nightwear          , 寝巻きを着て休みます。                          , 睡觉时穿的衣服                              , 寝るときに着る服                          , びょういん
pajama             , パジャマ              , 睡衣                  , 睡衣                  , pyjamas            , パジャマで寝ます。                              , 睡觉时穿的衣服                              , 寝るときに着る服                          , びょういん
orenji             , オレンジ              , 橙                    , 橙子                  , orange             , オレンジを食べます。                            , 一种水果                                    , 果物の一種                                , びょういん
tisshu-pepa        , ティッシュペーパー    , 纸巾                  , 纸巾                  , tissue paper       , ティッシュペーパーで鼻をかみます。              , 用于擦拭的纸                                , 拭くための紙                              , びょういん
manga              , まんが                , 漫画                  , 漫画                  , comic              , 漫画を読みます。                                , 图文结合的读物                              , 絵と文で構成された読み物                  , びょういん
machiai-shitsu     , まちあいしつ          , 待合室                , 候诊室                , waiting room       , 待合室で順番を待ちます。                        , 等待就诊的房间                              , 診察を待つ部屋                            , びょういん
tsue               , つえ                  , 杖                    , 拐杖                  , cane               , 杖を使って歩きます。                            , 辅助行走的工具                              , 歩行を助ける道具                          , びょういん
omutsu             , おむつ                , 尿布                  , 尿布                  , diaper             , おむつを交換します。                            , 婴儿或病人使用的卫生用品                    , 赤ちゃんや病人が使う衛生用品              , びょういん
kado               , カード                , 卡片                  , 卡片                  , card               , 診察室の入口でカードを見せます。                , 用于身份识别或支付的物品                    , 身分証明や支払いに使う物                  , びょういん
nashi              , なし                  , 梨                    , 梨                    , pear               , 梨を食べます。                                  , 一种水果                                    , 果物の一種                                , びょういん
omocha             , おもちゃ              , 玩具                  , 玩具                  , toy                , おもちゃで遊びます。                            , 供儿童玩耍的物品                            , 子供が遊ぶ道具                            , びょういん
kago               , かご                  , 篮                    , 篮子                  , basket             , かごに物を入れます。                            , 用于装物的容器                              , 物を入れる容器                            , びょういん
budo               , ぶどう                , 葡萄                  , 葡萄                  , grape              , 葡萄を食べます。                                , 一种水果                                    , 果物の一種                                , びょういん
banana             , バナナ                , 香蕉                  , 香蕉                  , banana             , バナナを食べます。                              , 一种水果                                    , 果物の一種                                , びょういん
bando-eido         , バンドエイド          , 创可贴                , 创可贴                , band-aid           , 傷にバンドエイドを貼ります。                    , 用于覆盖小伤口的贴片                        , 小さな傷に貼る絆創膏                      , びょういん
konpyuta           , コンピュータ          , 计算机                , 电脑                  , computer           , コンピュータで作業します。                      , 用于处理信息的设备                          , 情報処理の装置                            , びょういん
shitsunai-baki     , しつないばき          , 室内履き              , 室内鞋                , indoor shoes       , 室内履きを履きます。                            , 室内穿的鞋子                                , 室内で履く靴                              , びょういん
fuusen             , ふうせん              , 气球                  , 气球                  , balloon            , パーティーでふうせんを膨らませます。            , 用来装饰和娱乐的物品                        , 装飾や娯楽のための物                      , パーティー
chokoreto          , チョコレート          , 巧克力                , 巧克力                , chocolate          , チョコレートを食べます。                        , 用来食用的甜点                              , 食べるための甘いお菓子                    , パーティー
okashi             , おかし                , お菓子                , 糖果                  , sweets             , パーティーでおかしを食べます。                  , 用来享受的甜点或零食                        , 楽しむための甘い食べ物                    , パーティー
mado               , まど                  , 窓                    , 窗户                  , window             , まどから外を見ます。                            , 房间中的开口，用于透光和通风                , 部屋の開口部で光や通気を取るためのもの    , パーティー
hanabi             , 花火                  , 花火                  , 烟花                  , fireworks          , 花火を打ち上げます。                            , 庆祝或娱乐时使用的爆炸性物品                , 祝賀や娯楽のための爆発物                  , パーティー
ribon              , リボン                , リボン                , 丝带                  , ribbon             , リボンを髪に結びます。                          , 用于装饰的布条或带子                        , 飾り付けに使う布やテープ                  , パーティー
keki               , ケーキ                , ケーキ                , 蛋糕                  , cake               , ケーキを切って食べます。                        , 用来庆祝的甜点                              , 祝賀のための甘い食べ物                    , パーティー
sutoro             , ストロー              , ストロー              , 吸管                  , straw              , ストローで飲みます。                            , 用来吸饮料的管子                            , 飲み物を吸うための管                      , パーティー
rosuku             , ロウソク              , ロウソク              , 蜡烛                  , candle             , ロウソクに火を灯します。                        , 用于照明或装饰的物品                        , 照明や装飾に使う物                        , パーティー
kami-gusari        , かみぐさり            , 紙くすり              , 纸饰物                , paper decoration   , パーティーでかみぐさりを飾ります。              , 用来装饰的纸质装饰物                        , 飾り付け用の紙製の装飾                    , パーティー
omocha             , おもちゃ              , おもちゃ              , 玩具                  , toy                , おもちゃで遊びます。                            , 用于娱乐的物品                              , 娯楽のための物                            , パーティー
sandoicchi         , サンドイッチ          , サンドイッチ          , 三明治                , sandwich           , サンドイッチを食べます。                        , 用来作为餐点的食物                          , 食事のための食品                          , パーティー
bata               , バター                , バター                , 黄油                  , butter             , バターをパンに塗ります。                        , 用于涂抹在面包上的乳制品                    , パンに塗って食べる乳製品                  , パーティー
bisuketto          , ビスケット            , ビスケット            , 饼干                  , biscuit            , ビスケットを食べます。                          , 用于零食的烘焙食品                          , 間食用の焼き菓子                          , パーティー
chiizu             , チーズ                , チーズ                , 奶酪                  , cheese             , チーズを切って食べます。                        , 用于搭配食品的乳制品                        , 食品と一緒に食べる乳製品                  , パーティー
pan                , パン                  , パン                  , 面包                  , bread              , パンを食べます。                                , 作为餐点的主食                              , 食事のための主食                          , パーティー
teburu-kurosu      , テーブルクロス        , テーブルクロス        , 桌布                  , tablecloth         , テーブルクロスをかけます。                      , 用来保护桌面的布料                          , テーブルを保護するための布                , パーティー
denkyu             , でんきゅう            , 電球                  , 灯泡                  , light bulb         , パーティーのために電球を取り替えます。          , 用来照明的装置                              , 照明のための装置                          , パーティー
ichigo             , いちご                , 苺                    , 草莓                  , strawberry         , いちごを食べます。                              , 一种常见的水果                              , 一般的な果物                              , パーティー
ki-ichigo          , きいちご              , 木苺                  , 覆盆子                , raspberry          , きいちごを摘みます。                            , 一种红色的小水果                            , 赤い小さな果物                            , パーティー
furutsu-jusu       , フルーツジュース      , フルーツジュース      , 果汁                  , fruit juice        , フルーツジュースを飲みます。                    , 由水果制成的饮品                            , 果物を使った飲み物                        , パーティー
sakuranbo          , さくらんぼ            , 桜んぼ                , 樱桃                  , cherry             , さくらんぼを食べます。                          , 一种红色的小水果                            , 小さな赤い果物                            , パーティー
ki-gurumo          , きぐるみ              , 着ぐるみ              , 动物服装              , animal costume     , きぐるみを着ます。                              , 角色扮演时穿的服装                          , 役になりきるために着る服                  , パーティー
poteto-chippusu    , ポテトチップス        , ポテトチップス        , 薯片                  , potato chips       , ポテトチップスを食べます。                      , 薄切的炸土豆片                              , 薄切りの揚げたポテト                      , パーティー
soseji             , ソーセージ            , ソーセージ            , 香肠                  , sausage            , ソーセージを焼いて食べます。                    , 由肉制成的食品                              , 肉から作られる食品                        , パーティー
kasetto-tepu       , カセットテープ        , カセットテープ        , 卡带                  , cassette tape      , カセットテープをかけます。                      , 用于录音或播放的设备                        , 録音や再生用の装置                        , パーティー
sarami             , サラミ                , サラミ                , 萨拉米香肠            , salami             , サラミを食べます。                              , 一种风干的香肠                              , 乾燥されたソーセージ                      , パーティー
mikan              , みかん                , 蜜柑                  , 橘子                  , tangerine          , みかんを食べます。                              , 一种柑橘类水果                              , 柑橘類の果物                              , パーティー
purezento          , プレゼント            , プレゼント            , 礼物                  , present            , プレゼントを贈ります。                          , 用于庆祝时的赠品                            , 祝賀のための贈り物                        , パーティー
gurepu-furutsu     , グレープフルーツ      , グレープフルーツ      , 葡萄柚                , grapefruit         , グレープフルーツは朝食によく食べられます。      , 一种常见的水果，通常用于早餐                , 朝食によく食べられる柑橘類                , おみせ
ninjin             , にんじん              , 人参                  , 胡萝卜                , carrot             , にんじんはサラダに加えることが多いです。        , 一种常见的根菜，通常是橙色的                , 食材としてよく使われる根菜類              , おみせ
karifurawa         , カリフラワー          , カリフラワー          , 花椰菜                , cauliflower        , カリフラワーはスープに使われます。              , 一种常见的蔬菜，常用于汤中                  , スープに使われる野菜                      , おみせ
negi               , ねぎ                  , ネギ                  , 葱                    , leek               , ねぎは料理に使われます。                        , 一种常见的蔬菜，通常用于做菜或装饰          , 料理や装飾に使われる野菜                  , おみせ
masshurumu         , マッシュルーム        , マッシュルーム        , 蘑菇                  , mushroom           , マッシュルームはサラダに使います。              , 一种常见的可食用菌类                        , 食べることができるキノコ類                , おみせ
kyuri              , きゅうり              , 胡瓜                  , 黄瓜                  , cucumber           , きゅうりはサラダに加えられます。                , 一种绿色的蔬菜，常用于凉拌                  , 食材としてよく使われる野菜                , おみせ
remon              , れもん                , レモン                , 柠檬                  , lemon              , れもんはジュースに使われます。                  , 一种酸味水果，常用于饮料                    , 酸味のある果物で、ジュースに使われる      , おみせ
serori             , セロリ                , セロリ                , 芹菜                  , celery             , セロリはスープやサラダに使われます。            , 一种常见的蔬菜，通常用于汤或沙拉            , スープやサラダに加える野菜                , おみせ
apurikotto         , アプリコット          , アプリコット          , 杏子                  , apricot            , アプリコットはジャムに使われます。              , 一种水果，常用来做果酱                      , 果物の一種でジャムに使用される            , おみせ
meron              , メロン                , メロン                , 哈密瓜                , melon              , メロンは夏に食べるのが一般的です。              , 一种甜美的水果，通常在夏季食用              , 夏に食べられる甘い果物                    , おみせ
tamanegi           , たまねぎ              , 玉葱                  , 洋葱                  , onion              , たまねぎは料理によく使われます。                , 一种常见的食材，用于做菜                    , 料理に使われる野菜                        , おみせ
kyabetsu           , キャベツ              , キャベツ              , 卷心菜                , cabbage            , きゃべつはスープに入れられることが多いです。    , 一种常见的蔬菜，常用于做汤或炒菜            , スープや炒め物に使われる野菜              , おみせ
momo               , もも                  , 桃                    , 桃子                  , peach              , ももはデザートに使われることが多いです。        , 一种甜美的水果，常用于做甜点                , デザートに使用される果物                  , おみせ
retasu             , レタス                , レタス                , 生菜                  , lettuce            , レタスはサラダに使われます。                    , 一种常见的生菜，常用于沙拉                  , サラダに使われる野菜                      , おみせ
saya-endo          , さやえんどう          , さやえんどう          , 荷兰豆                , snow pea           , さやえんどうはサラダや炒め物に使われます。      , 一种可以食用的豆荚，常用于沙拉或炒菜        , 食べられる豆の鞘で、サラダや炒め物に使う  , おみせ
tomato             , トマト                , トマト                , 西红柿                , tomato             , とまとはサラダや料理に使われます。              , 一种常见的蔬菜水果，常用于沙拉或做菜        , サラダや料理に使われる果物                , おみせ
jaga-imo           , じゃがいも            , ジャガイモ            , 土豆                  , potato             , じゃがいもは煮物やフライに使われます。          , 一种常见的根菜，通常用于做煮物或炸物        , 煮物や揚げ物に使われる野菜                , おみせ
horenso            , ほうれん草            , ほうれん草            , 菠菜                  , spinach            , ほうれん草は料理に使われます。                  , 一种绿色蔬菜，常用于做菜                    , 料理に使われる緑色の葉野菜                , おみせ
ingen              , いんげん              , インゲン              , 四季豆                , green bean         , いんげんは炒め物に使われます。                  , 一种绿色豆类，常用于炒菜                    , 炒め物に使われる豆類                      , おみせ
reji               , レジ                  , レジ                  , 收银台                , register           , レジで支払いをします。                          , 商店或超市的收款处                          , 店の支払い場所                            , おみせ
kabocha            , かぼちゃ              , 南瓜                  , 南瓜                  , pumpkin            , かぼちゃは煮物やスープに使われます。            , 一种常见的蔬菜，常用于做汤或炖菜            , 煮物やスープに使われる野菜                , おみせ
kato               , カート                , カート                , 购物车                , cart               , スーパーでカートを使って買い物をしました。      , 用于在商店中放置商品的推车                  , 店内で商品を運ぶための道具                , おみせ
kanzume            , かんづめ              , 缶詰                  , 罐头                  , canned food        , かんづめは長期保存ができる食品です。            , 用于保存食物的罐装食品                      , 保存食物のための缶詰                      , おみせ
o-kane             , おかね                , お金                  , 钱                    , money              , おかねを持っていると安心です。                  , 用于交换的流通媒介，通常是纸币或硬币        , 交換に使うもの                            , おみせ
saifu              , さいふ                , 財布                  , 钱包                  , wallet             , さいふにお金を入れます。                        , 用来放钱或卡片的小袋子                      , お金やカードを入れる袋                    , おみせ
hando-baggu        , ハンドバッグ          , ハンドバッグ          , 手提包                , handbag            , ハンドバッグを買いました。                      , 用来放东西的手提包                          , 物を入れるためのバッグ                    , おみせ
botoru             , ぼとる                , ボトル                , 瓶子                  , bottle             , ぼとるには水が入っています。                    , 用来装液体的容器                            , 液体を入れるための容器                    , おみせ
basuketto          , バスケット            , バスケット            , 篮子                  , basket             , バスケットに果物を入れました。                  , 用来装东西的容器                            , 物を入れるための容器                      , おみせ
yoguruto           , ヨーグルト            , ヨーグルト            , 酸奶                  , yogurt             , ヨーグルトは朝食に食べます。                    , 一种常见的早餐食品                          , 朝食に食べる食品                          , おみせ
painappuru         , パイナップル          , パイナップル          , 菠萝                  , pineapple          , パイナップルは甘くておいしいです。              , 一种热带水果                                , 甘くておいしい果物                        , おみせ
niku               , にく                  , 肉                    , 肉                    , meat               , にくは焼き肉に使われます。                      , 一种常见的食材，通常是动物肉                , 動物の肉                                  , おみせ
bin                , びん                  , 瓶                    , 瓶子                  , bottle             , びんにジュースが入っています。                  , 用来装液体的玻璃容器                        , 液体を入れるためのガラス容器              , おみせ
hakari             , はかり                , 計り                  , 称重器                , scale              , はかりで食材を測ります。                        , 用来测量物体重量的工具                      , 物の重さを測る道具                        , おみせ
komugiko           , こむぎこ              , 小麦粉                , 小麦粉                , flour              , こむぎこはパンを作るのに使います。              , 用来做面包等食品的粉末状物质                , パンなどを作るための粉                    , おみせ
puramu             , プラム                , プラム                , 李子                  , plum               , プラムは甘くておいしい果物です。                , 一种甜美的水果，常见的有紫色和黄色等不同种类, 甘い果物で食べやすい                      , おみせ
tamago             , たまご                , 卵                    , 鸡蛋                  , egg                , たまごは朝食に食べることが多いです。            , 一种蛋白质丰富的食物，常用于早餐            , 朝食に使われることが多い食材              , おみせ
kaimono-bukuro     , かいものぶくろ        , 買い物袋              , 购物袋                , shopping bag       , かいものぶくろに商品を入れました。              , 用来装购物商品的袋子                        , 商品を入れるための袋                      , おみせ
asa-gohan          , あさごはん            , 朝ご飯                , 早餐                  , breakfast          , 朝ごはんを食べるのが好きです。                  , 一天的第一顿饭                              , 一日の最初の食事                          , たべもの
hiru-gohan         , ひるごはん            , 昼ご飯                , 午餐                  , lunch              , ひるごはんはサンドイッチでした。                , 白天吃的饭                                  , 昼に食べる食事                            , たべもの
ban-gohan          , ばんごはん            , 晩ご飯                , 晚餐                  , dinner             , ばんごはんはカレーライスでした。                , 晚上的一餐                                  , 夜に食べる食事                            , たべもの
hamu               , ハム                  , ハム                  , 火腿                  , ham                , ハムはサンドイッチに入れることが多い。          , 一种肉类制品                                , 豚肉などを加工した食品                    , たべもの
kohii              , コーヒー              , コーヒー              , 咖啡                  , coffee             , 朝はコーヒーを飲むことが多い。                  , 咖啡是一种由咖啡豆制成的饮料                , コーヒー豆から作られる飲み物              , たべもの
yude-tamago        , ゆでたまご            , 茹で卵                , 水煮蛋                , boiled egg         , ゆでたまごをサラダに入れました。                , 水煮过的鸡蛋                                , 卵を茹でた料理                            , たべもの
medama-yaki        , めだまやき            , 目玉焼き              , 荷包蛋                , fried egg          , 目玉焼きは朝ごはんによく食べます。              , 两面煎的鸡蛋                                , 両面焼きした卵                            , たべもの
toosuto            , トースト              , トースト              , 烤面包                , toast              , トーストにジャムを塗って食べます。              , 烤的面包片                                  , 焼いたパン                                , たべもの
jamu               , ジャム                , ジャム                , 果酱                  , jam                , パンにジャムを塗って食べました。                , 一种果实制成的甜食                          , 果物を使った甘い食品                      , たべもの
supu               , スープ                , スープ                , 汤                    , soup               , 昨日、温かいスープを飲みました。                , 一种液体食物，通常是热的                    , 食事の一部として飲む液体食品              , たべもの
omuretsu           , オムレツ              , オムレツ              , 煎蛋饼                , omelette           , 今日はオムレツを作りました。                    , 由鸡蛋做的煎饼                              , 卵を使って作った料理                      , たべもの
